family,family_label,task,task_label,scenario,scenario_label,model,model_label,seed,metric,value
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,161,AUC,0.5543650793650793
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,162,AUC,0.4950396825396826
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,163,AUC,0.4567460317460317
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,164,AUC,0.4815476190476191
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,165,AUC,0.5424603174603174
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,166,AUC,0.5422619047619047
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,167,AUC,0.5228174603174603
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,168,AUC,0.5283730158730159
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,169,AUC,0.503373015873016
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,170,AUC,0.5166666666666666
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,171,AUC,0.5353174603174603
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,172,AUC,0.4857142857142857
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,173,AUC,0.4480158730158729
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,174,AUC,0.5394841269841271
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,175,AUC,0.5662698412698414
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,176,AUC,0.48353174603174603
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,177,AUC,0.5164682539682539
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,178,AUC,0.5001984126984128
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,179,AUC,0.4817460317460318
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,180,AUC,0.5160714285714287
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,181,AUC,0.4686507936507936
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,182,AUC,0.4962301587301588
