family,family_label,task,task_label,scenario,scenario_label,model,model_label,seed,metric,value
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,165,AUC,0.4605158730158729
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,166,AUC,0.5210317460317461
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,167,AUC,0.5779761904761905
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,168,AUC,0.531547619047619
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,169,AUC,0.5051587301587303
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,170,AUC,0.5200396825396825
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,171,AUC,0.4902777777777777
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,172,AUC,0.5371031746031746
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,173,AUC,0.4956349206349207
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,174,AUC,0.45
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,175,AUC,0.5265873015873016
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,176,AUC,0.5964285714285714
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,177,AUC,0.486904761904762
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,178,AUC,0.4738095238095237
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,179,AUC,0.4751984126984127
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,180,AUC,0.4992063492063492
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,181,AUC,0.4958333333333333
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,182,AUC,0.5307539682539683
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,183,AUC,0.5099206349206349
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,184,AUC,0.4962301587301587
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,185,AUC,0.4259920634920635
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,186,AUC,0.4902777777777778
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,187,AUC,0.4801587301587302
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,188,AUC,0.5658730158730159
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,189,AUC,0.4253968253968254
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,190,AUC,0.4962301587301587
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,191,AUC,0.4430555555555555
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,192,AUC,0.4432539682539682
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,193,AUC,0.4793650793650794
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,194,AUC,0.4523809523809524
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,195,AUC,0.5323412698412698
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,196,AUC,0.4773809523809522
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,197,AUC,0.4660714285714286
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,198,AUC,0.4333333333333333
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,199,AUC,0.4505952380952381
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,200,AUC,0.5001984126984128
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,201,AUC,0.4902777777777777
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,202,AUC,0.5333333333333333
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,203,AUC,0.4240079365079365
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,204,AUC,0.4914682539682539
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,205,AUC,0.4422619047619048
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,206,AUC,0.4607142857142857
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,207,AUC,0.5021825396825397
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,208,AUC,0.5349206349206349
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,209,AUC,0.4498015873015873
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,210,AUC,0.5164682539682539
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,211,AUC,0.5025793650793651
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,212,AUC,0.3837301587301587
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,213,AUC,0.5523809523809524
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,214,AUC,0.4597222222222222
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,215,AUC,0.5249999999999999
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,216,AUC,0.5188492063492063
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,217,AUC,0.45
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,218,AUC,0.4962301587301587
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,219,AUC,0.4541666666666666
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,220,AUC,0.4220238095238094
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,221,AUC,0.4051587301587301
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,222,AUC,0.5537698412698412
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,random_forest,Random Forest,123,AUC,0.4896825396825397
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,random_forest,Random Forest,124,AUC,0.5140873015873015
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,random_forest,Random Forest,125,AUC,0.4940476190476189
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,random_forest,Random Forest,126,AUC,0.4801587301587302
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,random_forest,Random Forest,127,AUC,0.4688492063492064
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,random_forest,Random Forest,128,AUC,0.4619047619047619
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,random_forest,Random Forest,129,AUC,0.4587301587301587
